id	url	timestamp	title	activity_type	felt	duration_seconds	distance	distance_units	description	effort_outof_5	gear	weather	calories
1980554	http://www.dailymile.com/entries/1980554	2010-05-22T16:00:00Z	Hogtown Creek Greenway	Running	injured		1.5	miles	Brand new shoes and this is what I get.				165
1980574	http://www.dailymile.com/entries/1980574	2010-05-25T04:00:00Z	None	Running	alright		2.25	miles	Incorporated my first barefoot run.		Barefoot		248
1980599	http://www.dailymile.com/entries/1980599	2010-05-29T04:00:00Z	None	Running	alright		2.25	miles	CALVES!  1.5 mi of this was barefoot.		Nike Free Run+		248
1981894	http://www.dailymile.com/entries/1981894	2010-06-01T15:49:23Z							Just ordered some red RunAmoc running moccasins from Soft Star Shoes.				
1993425	http://www.dailymile.com/entries/1993425	2010-06-01T16:00:00Z	Hogtown Creek Greenway	Running	blah		2.5	miles	Ran barefoot part of the way, some on hot concrete.  Near-instant blisters.  Eagerly waiting for my RunAmocs to arrive from Soft Star Shoes.				276
2010928	http://www.dailymile.com/entries/2010928	2010-06-03T04:00:00Z	Hogtown Creek Greenway	Running	tired		1	miles	Easy walk-jog.  Test-driving my new huarache sandals (kit from invisibleshoe.com).  On hard surfaces I could definitely feel the knot under the left foot to the point of being painful.  The right foot was fine.  Probably that shoddy construction (by me!). The cord between my toes was a little uncomfortable.  However, on soft surfaces these were awesome for running over sticks and pine cones.  Traction was good all-around.		Huarache Sandals		110
2019075	http://www.dailymile.com/entries/2019075	2010-06-04T15:09:38Z	None	Walking	alright		4	miles	Hiking on Bolen Bluff Trail. I saw deer, red-winged blackbirds, some kind of prairie mice, and wild turkey with babies.				215
2032050	http://www.dailymile.com/entries/2032050	2010-06-05T04:00:00Z	Hogtown Creek Greenway	Running	injured		1	miles	Ran in my new huarache sandals.  Still some discomfort around the toes, will continue to tweak the lacing.  They definitely force a barefoot style run and I love the extra traction.  I went slow to concentrate on form.  For the first time I felt a glimmer, just a glimmer, of what I'll be able to do if I get in shape.		Huarache Sandals		110
2069257	http://www.dailymile.com/entries/2069257	2010-06-08T04:00:00Z	Hogtown Creek Greenway	Running	good	1579	2.5	miles	Ran the whole thing in my Nike Frees.  Felt great until my calf went out and I had to gimp the last little bit.		Nike Free Run+		337
2079280	http://www.dailymile.com/entries/2079280	2010-06-09T19:38:49Z							My RunAmocs have shipped!  In the meantime, I think I fixed the issue with my huaraches hurting my left toes... lacing is still a bitch though.				
