id,url,entry_date,title,felt,elapsed_time,distance_in_miles,distance_in_km,description,effort_outof_5,gear,weather,calories,pace_per_mile,pace_per_km
36632645,http://www.dailymile.com/entries/36632645,2016-12-19 12:07:05,PT at home,,00:00:00,0.0000,0.0000,,,,,,,
8841704,http://www.dailymile.com/entries/8841704,2011-08-03 22:47:25,Stadium Stairs at The Swamp,,00:00:00,0.0000,0.0000,"Altra Zero Drop shoes are great for running stadium stairs in The Swamp.  Despite the dripping, burning sweat in my eyes had a great workout.  5 x stairs.",2,,,,,
9848525,http://www.dailymile.com/entries/9848525,2011-09-15 22:29:37,Sick Sucks.  :(,,00:00:00,0.0000,0.0000,,,,,,,
10704555,http://www.dailymile.com/entries/10704555,2011-10-30 15:34:34,stadium stairs,good,00:00:00,0.0000,0.0000,4 x stadium stairs,,Altra Instinct pair2,,,,
10925632,http://www.dailymile.com/entries/10925632,2011-11-10 17:00:00,Workrave,,00:00:00,0.0000,0.0000,30 push-ups,,,,,,
13752402,http://www.dailymile.com/entries/13752402,2012-03-21 00:11:51,Swamp stadium stairs,,00:00:00,0.0000,0.0000,8 x stadium stairs with no rest.  Hopefully I'll recover a little faster than last week.  Altra Sampsons let me feel a nice firm platform on every stair.,3,Altra Sampson,hot,,,
14031200,http://www.dailymile.com/entries/14031200,2012-04-01 11:45:47,The Daily,good,00:17:22,1.6600,2.7000,,1,,,210,00:10:27.710843,00:06:25.925926
15661800,http://www.dailymile.com/entries/15661800,2012-06-07 21:56:53,four stadium stairs,,00:00:00,0.0000,0.0000,"4 x stadium stairs, ran as easy as possible.",2,VFF Bikila,,,,
22606622,http://www.dailymile.com/entries/22606622,2013-05-08 17:33:13,Waldo Road,blah,01:05:00,7.1900,11.6000,,2,Altra Instinct Black,,788,00:09:02.420028,00:05:36.206897
25661428,http://www.dailymile.com/entries/25661428,2013-10-21 23:31:54,barefoot,good,00:07:00,0.5000,0.8000,barefoot,1,,,86,00:14:00,00:08:45
29211800,http://www.dailymile.com/entries/29211800,2014-06-20 03:59:59,Track meet 1500m,good,00:04:46,0.9000,1.5000,Track meet at Cone Park. 1500m in 4:46.,5,Altra Samson,,98,00:05:17.777778,00:03:10.666667
29211805,http://www.dailymile.com/entries/29211805,2014-06-20 04:00:39,Track meet 3000m,good,00:10:49,1.9000,3.0000,Track meet at Cone park. 3000m in 10:49.,5,Altra Samson,,197,00:05:41.578947,00:03:36.333333
